text,category
amazon prime subscription,entertainment
monthly salary credited,salary
grocery supermarket purchase,shopping
bought clothes at mall,shopping
water bill payment,bills
mobile recharge,bills
ordered shoes online,shopping
mobile recharge,bills
bought clothes at mall,shopping
amazon electronics order,shopping
ola cab ride,transport
uber ride payment,transport
salary bank transfer,salary
burger from mcdonalds,food
salary bank transfer,salary
amazon prime subscription,entertainment
amazon prime subscription,entertainment
spotify premium payment,entertainment
pizza order from dominos,food
company salary payment,salary
ola cab ride,transport
zomato food order,food
food delivery from swiggy,food
burger from mcdonalds,food
company salary payment,salary
youtube premium payment,entertainment
company salary payment,salary
electricity bill payment,bills
ola cab ride,transport
amazon prime subscription,entertainment
amazon prime subscription,entertainment
mobile recharge,bills
flipkart shopping payment,shopping
salary bank transfer,salary
bus ticket payment,transport
flipkart shopping payment,shopping
pizza order from dominos,food
bought clothes at mall,shopping
zomato food order,food
grocery supermarket purchase,shopping
internet bill payment,bills
bus ticket payment,transport
pizza order from dominos,food
bus ticket payment,transport
company salary payment,salary
bought clothes at mall,shopping
amazon prime subscription,entertainment
bought clothes at mall,shopping
gas bill payment,bills
amazon prime subscription,entertainment
company salary payment,salary
mobile recharge,bills
electricity bill payment,bills
electricity bill payment,bills
salary bank transfer,salary
bought clothes at mall,shopping
burger from mcdonalds,food
salary bank transfer,salary
ordered shoes online,shopping
company salary payment,salary
coffee at cafe,food
movie ticket booking,entertainment
burger from mcdonalds,food
ordered shoes online,shopping
uber ride payment,transport
metro ticket purchase,transport
salary bank transfer,salary
coffee at cafe,food
salary bank transfer,salary
internet bill payment,bills
youtube premium payment,entertainment
bus ticket payment,transport
bus ticket payment,transport
amazon prime subscription,entertainment
amazon electronics order,shopping
internet bill payment,bills
monthly salary credited,salary
mobile recharge,bills
bus ticket payment,transport
food delivery from swiggy,food
train ticket booking,transport
internet bill payment,bills
food delivery from swiggy,food
water bill payment,bills
bought clothes at mall,shopping
monthly salary credited,salary
gas bill payment,bills
metro ticket purchase,transport
internet bill payment,bills
train ticket booking,transport
flipkart shopping payment,shopping
amazon electronics order,shopping
internet bill payment,bills
mobile recharge,bills
youtube premium payment,entertainment
youtube premium payment,entertainment
burger from mcdonalds,food
water bill payment,bills
ola cab ride,transport
bus ticket payment,transport
netflix subscription payment,entertainment
bus ticket payment,transport
coffee at cafe,food
bus ticket payment,transport
uber ride payment,transport
monthly salary credited,salary
bus ticket payment,transport
netflix subscription payment,entertainment
company salary payment,salary
spotify premium payment,entertainment
spotify premium payment,entertainment
youtube premium payment,entertainment
gas bill payment,bills
ordered shoes online,shopping
monthly salary credited,salary
grocery supermarket purchase,shopping
burger from mcdonalds,food
movie ticket booking,entertainment
uber ride payment,transport
zomato food order,food
salary bank transfer,salary
amazon prime subscription,entertainment
amazon electronics order,shopping
train ticket booking,transport
salary bank transfer,salary
burger from mcdonalds,food
electricity bill payment,bills
ola cab ride,transport
flipkart shopping payment,shopping
company salary payment,salary
youtube premium payment,entertainment
company salary payment,salary
netflix subscription payment,entertainment
electricity bill payment,bills
youtube premium payment,entertainment
mobile recharge,bills
bought clothes at mall,shopping
gas bill payment,bills
company salary payment,salary
uber ride payment,transport
train ticket booking,transport
youtube premium payment,entertainment
salary bank transfer,salary
netflix subscription payment,entertainment
mobile recharge,bills
bought clothes at mall,shopping
salary bank transfer,salary
electricity bill payment,bills
company salary payment,salary
spotify premium payment,entertainment
youtube premium payment,entertainment
mobile recharge,bills
metro ticket purchase,transport
salary bank transfer,salary
pizza order from dominos,food
metro ticket purchase,transport
train ticket booking,transport
bus ticket payment,transport
electricity bill payment,bills
flipkart shopping payment,shopping
electricity bill payment,bills
internet bill payment,bills
grocery supermarket purchase,shopping
amazon prime subscription,entertainment
food delivery from swiggy,food
ola cab ride,transport
uber ride payment,transport
internet bill payment,bills
company salary payment,salary
internet bill payment,bills
youtube premium payment,entertainment
mobile recharge,bills
monthly salary credited,salary
salary bank transfer,salary
pizza order from dominos,food
monthly salary credited,salary
bus ticket payment,transport
mobile recharge,bills
movie ticket booking,entertainment
pizza order from dominos,food
